geometry
"POLYGON ((41.139343 -8.639015629999989, 41.139343 -8.638309331999988, 41.140049297999994 -8.638309331999988, 41.140049297999994 -8.639015629999989, 41.139343 -8.639015629999989))"
"POLYGON ((41.139343 -8.638309331999988, 41.139343 -8.637603033999987, 41.140049297999994 -8.637603033999987, 41.140049297999994 -8.638309331999988, 41.139343 -8.638309331999988))"
"POLYGON ((41.139343 -8.637603033999987, 41.139343 -8.636896735999986, 41.140049297999994 -8.636896735999986, 41.140049297999994 -8.637603033999987, 41.139343 -8.637603033999987))"
"POLYGON ((41.139343 -8.636896735999986, 41.139343 -8.636190437999986, 41.140049297999994 -8.636190437999986, 41.140049297999994 -8.636896735999986, 41.139343 -8.636896735999986))"
"POLYGON ((41.139343 -8.636190437999986, 41.139343 -8.635484139999985, 41.140049297999994 -8.635484139999985, 41.140049297999994 -8.636190437999986, 41.139343 -8.636190437999986))"
"POLYGON ((41.139343 -8.635484139999985, 41.139343 -8.634777841999984, 41.140049297999994 -8.634777841999984, 41.140049297999994 -8.635484139999985, 41.139343 -8.635484139999985))"
"POLYGON ((41.139343 -8.634777841999984, 41.139343 -8.634071543999983, 41.140049297999994 -8.634071543999983, 41.140049297999994 -8.634777841999984, 41.139343 -8.634777841999984))"
"POLYGON ((41.139343 -8.634071543999983, 41.139343 -8.633365245999983, 41.140049297999994 -8.633365245999983, 41.140049297999994 -8.634071543999983, 41.139343 -8.634071543999983))"
"POLYGON ((41.139343 -8.633365245999983, 41.139343 -8.632658947999982, 41.140049297999994 -8.632658947999982, 41.140049297999994 -8.633365245999983, 41.139343 -8.633365245999983))"
"POLYGON ((41.139343 -8.632658947999982, 41.139343 -8.631952649999981, 41.140049297999994 -8.631952649999981, 41.140049297999994 -8.632658947999982, 41.139343 -8.632658947999982))"
"POLYGON ((41.139343 -8.631952649999981, 41.139343 -8.63124635199998, 41.140049297999994 -8.63124635199998, 41.140049297999994 -8.631952649999981, 41.139343 -8.631952649999981))"
"POLYGON ((41.139343 -8.63124635199998, 41.139343 -8.63054005399998, 41.140049297999994 -8.63054005399998, 41.140049297999994 -8.63124635199998, 41.139343 -8.63124635199998))"
"POLYGON ((41.139343 -8.63054005399998, 41.139343 -8.629833755999979, 41.140049297999994 -8.629833755999979, 41.140049297999994 -8.63054005399998, 41.139343 -8.63054005399998))"
"POLYGON ((41.139343 -8.629833755999979, 41.139343 -8.629127457999978, 41.140049297999994 -8.629127457999978, 41.140049297999994 -8.629833755999979, 41.139343 -8.629833755999979))"
"POLYGON ((41.139343 -8.629127457999978, 41.139343 -8.628421159999977, 41.140049297999994 -8.628421159999977, 41.140049297999994 -8.629127457999978, 41.139343 -8.629127457999978))"
"POLYGON ((41.139343 -8.628421159999977, 41.139343 -8.627714861999976, 41.140049297999994 -8.627714861999976, 41.140049297999994 -8.628421159999977, 41.139343 -8.628421159999977))"
"POLYGON ((41.139343 -8.627714861999976, 41.139343 -8.627008563999976, 41.140049297999994 -8.627008563999976, 41.140049297999994 -8.627714861999976, 41.139343 -8.627714861999976))"
"POLYGON ((41.139343 -8.627008563999976, 41.139343 -8.626302265999975, 41.140049297999994 -8.626302265999975, 41.140049297999994 -8.627008563999976, 41.139343 -8.627008563999976))"
"POLYGON ((41.139343 -8.626302265999975, 41.139343 -8.625595967999974, 41.140049297999994 -8.625595967999974, 41.140049297999994 -8.626302265999975, 41.139343 -8.626302265999975))"
"POLYGON ((41.139343 -8.625595967999974, 41.139343 -8.624889669999973, 41.140049297999994 -8.624889669999973, 41.140049297999994 -8.625595967999974, 41.139343 -8.625595967999974))"
"POLYGON ((41.139343 -8.624889669999973, 41.139343 -8.624183371999973, 41.140049297999994 -8.624183371999973, 41.140049297999994 -8.624889669999973, 41.139343 -8.624889669999973))"
"POLYGON ((41.139343 -8.624183371999973, 41.139343 -8.623477073999972, 41.140049297999994 -8.623477073999972, 41.140049297999994 -8.624183371999973, 41.139343 -8.624183371999973))"
"POLYGON ((41.139343 -8.623477073999972, 41.139343 -8.622770775999971, 41.140049297999994 -8.622770775999971, 41.140049297999994 -8.623477073999972, 41.139343 -8.623477073999972))"
"POLYGON ((41.139343 -8.622770775999971, 41.139343 -8.62206447799997, 41.140049297999994 -8.62206447799997, 41.140049297999994 -8.622770775999971, 41.139343 -8.622770775999971))"
"POLYGON ((41.139343 -8.62206447799997, 41.139343 -8.62135817999997, 41.140049297999994 -8.62135817999997, 41.140049297999994 -8.62206447799997, 41.139343 -8.62206447799997))"
"POLYGON ((41.139343 -8.62135817999997, 41.139343 -8.620651881999969, 41.140049297999994 -8.620651881999969, 41.140049297999994 -8.62135817999997, 41.139343 -8.62135817999997))"
"POLYGON ((41.139343 -8.620651881999969, 41.139343 -8.619945583999968, 41.140049297999994 -8.619945583999968, 41.140049297999994 -8.620651881999969, 41.139343 -8.620651881999969))"
"POLYGON ((41.139343 -8.619945583999968, 41.139343 -8.619239285999967, 41.140049297999994 -8.619239285999967, 41.140049297999994 -8.619945583999968, 41.139343 -8.619945583999968))"
"POLYGON ((41.139343 -8.619239285999967, 41.139343 -8.618532987999966, 41.140049297999994 -8.618532987999966, 41.140049297999994 -8.619239285999967, 41.139343 -8.619239285999967))"
"POLYGON ((41.139343 -8.618532987999966, 41.139343 -8.617826689999966, 41.140049297999994 -8.617826689999966, 41.140049297999994 -8.618532987999966, 41.139343 -8.618532987999966))"
"POLYGON ((41.139343 -8.617826689999966, 41.139343 -8.617120391999965, 41.140049297999994 -8.617120391999965, 41.140049297999994 -8.617826689999966, 41.139343 -8.617826689999966))"
"POLYGON ((41.139343 -8.617120391999965, 41.139343 -8.616414093999964, 41.140049297999994 -8.616414093999964, 41.140049297999994 -8.617120391999965, 41.139343 -8.617120391999965))"
"POLYGON ((41.139343 -8.616414093999964, 41.139343 -8.615707795999963, 41.140049297999994 -8.615707795999963, 41.140049297999994 -8.616414093999964, 41.139343 -8.616414093999964))"
"POLYGON ((41.139343 -8.615707795999963, 41.139343 -8.615001497999963, 41.140049297999994 -8.615001497999963, 41.140049297999994 -8.615707795999963, 41.139343 -8.615707795999963))"
"POLYGON ((41.139343 -8.615001497999963, 41.139343 -8.614295199999962, 41.140049297999994 -8.614295199999962, 41.140049297999994 -8.615001497999963, 41.139343 -8.615001497999963))"
"POLYGON ((41.139343 -8.614295199999962, 41.139343 -8.613588901999961, 41.140049297999994 -8.613588901999961, 41.140049297999994 -8.614295199999962, 41.139343 -8.614295199999962))"
"POLYGON ((41.139343 -8.613588901999961, 41.139343 -8.61288260399996, 41.140049297999994 -8.61288260399996, 41.140049297999994 -8.613588901999961, 41.139343 -8.613588901999961))"
"POLYGON ((41.139343 -8.61288260399996, 41.139343 -8.61217630599996, 41.140049297999994 -8.61217630599996, 41.140049297999994 -8.61288260399996, 41.139343 -8.61288260399996))"
"POLYGON ((41.139343 -8.61217630599996, 41.139343 -8.611470007999959, 41.140049297999994 -8.611470007999959, 41.140049297999994 -8.61217630599996, 41.139343 -8.61217630599996))"
"POLYGON ((41.139343 -8.611470007999959, 41.139343 -8.610763709999958, 41.140049297999994 -8.610763709999958, 41.140049297999994 -8.611470007999959, 41.139343 -8.611470007999959))"
"POLYGON ((41.139343 -8.610763709999958, 41.139343 -8.610057411999957, 41.140049297999994 -8.610057411999957, 41.140049297999994 -8.610763709999958, 41.139343 -8.610763709999958))"
"POLYGON ((41.139343 -8.610057411999957, 41.139343 -8.609351113999956, 41.140049297999994 -8.609351113999956, 41.140049297999994 -8.610057411999957, 41.139343 -8.610057411999957))"
